model,family,feature_group,status,decision_dates,cumulative_return,annualized_volatility,sharpe,sortino,maximum_drawdown,weekly_hit_rate,average_exposure,gross_cumulative_return,gross_annualized_volatility,gross_sharpe,gross_sortino,gross_maximum_drawdown,gross_weekly_hit_rate,initial_nav,final_nav,final_gross_nav,cost_drag,fee_total,slippage_total,turnover,number_of_rebalances,weekly_observations,sample_start,sample_end,top_tercile_excess_return_mean,top_tercile_excess_return_median,reason
B0,constant_zero,price_volume,estimated,143,-0.010820343573189284,0.028971787587892796,-0.12120334634479835,-0.16656828243113683,-0.05346617762454142,0.4930555555555556,0.6850507853505379,0.13032925405931417,0.026936583056363716,1.6564198585250152,2.790145042755493,-0.02335795526346618,0.5694444444444444,100000.0,98917.96564268107,113032.92540593143,0.14114959763250357,2352.4932938751354,11762.46646937568,235.92923800945152,118.0,144.0,2022-01-14T21:00:00+00:00,2024-10-11T20:00:00+00:00,0.0,0.0,
B1,momentum,price_volume,estimated,143,0.12333214984383578,0.054621820758480794,0.7962737840332582,1.2285939044989451,-0.043321225522854334,0.5694444444444444,0.685050794416514,0.27633704248150215,0.051490239987310796,1.7381440397058612,3.0199300182544904,-0.032028547088088666,0.5972222222222222,100000.0,112333.21498438358,127633.70424815021,0.15300489263766634,2550.0815439610756,12750.407719805395,235.9292411315259,118.0,144.0,2022-01-14T21:00:00+00:00,2024-10-11T20:00:00+00:00,0.0009039500290650997,0.00029214816330658255,
B2-price_volume-a0.001-l0.1,elastic_net,price_volume,estimated,143,-0.01912769408167636,0.054461057477417196,-0.1009950876654452,-0.14281079429226404,-0.11978639520730572,0.4861111111111111,0.685050794624873,0.1174567429586375,0.05051060778173288,0.8193290022397645,1.284573803602645,-0.08237218337140084,0.5277777777777778,100000.0,98087.23059183237,111745.67429586375,0.13658443704031378,2276.40728400524,11382.036420026236,235.92924120283567,118.0,144.0,2022-01-14T21:00:00+00:00,2024-10-11T20:00:00+00:00,-3.8246570558486524e-05,-0.00027447973996619357,
B2-price_volume-a0.001-l0.5,elastic_net,price_volume,not_estimable,143,,,,,,,,,,,,,,,,,,,,,,,,,,,RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions
B2-price_volume-a0.001-l0.9,elastic_net,price_volume,not_estimable,143,,,,,,,,,,,,,,,,,,,,,,,,,,,RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions
B2-price_volume-a0.01-l0.1,elastic_net,price_volume,not_estimable,143,,,,,,,,,,,,,,,,,,,,,,,,,,,RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions
B2-price_volume-a0.01-l0.5,elastic_net,price_volume,not_estimable,143,,,,,,,,,,,,,,,,,,,,,,,,,,,RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions
B2-price_volume-a0.01-l0.9,elastic_net,price_volume,not_estimable,143,,,,,,,,,,,,,,,,,,,,,,,,,,,RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions
B2-price_volume-a0.1-l0.1,elastic_net,price_volume,not_estimable,143,,,,,,,,,,,,,,,,,,,,,,,,,,,RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions
B2-price_volume-a0.1-l0.5,elastic_net,price_volume,not_estimable,143,,,,,,,,,,,,,,,,,,,,,,,,,,,RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions; RuntimeError: undefined rank IC from constant or missing validation predictions
