name,family,feature_group,mean_development_ic,nonnegative_fold_fraction,completed_fold_count,fold_ics,errors
B0,constant_zero,price_volume,,,0,"[null, null, null, null, null, null, null, null, null, null, null]",[]
B1,momentum,price_volume,0.017148813366833385,1.0,11,"[0.02712415504406606, 0.0047060836827243924, 0.10272952853598015, -0.057277316676649266, 0.025207495507829213, -0.010456062291434936, 0.04245743133396081, 0.018156926499529383, 0.0399589287242235, 0.002823650209634639, -0.006793873534696668]",[]
B2-price_volume-a0.001-l0.1,elastic_net,price_volume,-0.0035486204562956494,0.5454545454545454,11,"[0.009703088902199017, -0.057379994866090536, -0.15115940788910753, -0.0024813895781637717, -0.009566184649610683, 0.0008385385471036367, 0.05087704286814408, 0.06340378197997776, 0.05785915975014974, -0.03872679045092839, 0.03759733036707453]",[]
B2-price_volume-a0.001-l0.5,elastic_net,price_volume,,,7,"[-0.03195002994780525, -0.03554376657824934, -0.08623256609908445, null, null, null, null, 0.036775904851544444, 0.06042611448618121, -0.056182082655942496, -0.010319158038846575]","[""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions""]"
B2-price_volume-a0.001-l0.9,elastic_net,price_volume,,,2,"[-0.02712415504406606, -0.0047060836827243924, null, null, null, null, null, null, null, null, null]","[""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions""]"
B2-price_volume-a0.01-l0.1,elastic_net,price_volume,,,2,"[-0.02712415504406606, -0.0047060836827243924, null, null, null, null, null, null, null, null, null]","[""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions""]"
B2-price_volume-a0.01-l0.5,elastic_net,price_volume,,,0,"[null, null, null, null, null, null, null, null, null, null, null]","[""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions""]"
B2-price_volume-a0.01-l0.9,elastic_net,price_volume,,,0,"[null, null, null, null, null, null, null, null, null, null, null]","[""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions""]"
B2-price_volume-a0.1-l0.1,elastic_net,price_volume,,,0,"[null, null, null, null, null, null, null, null, null, null, null]","[""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions""]"
B2-price_volume-a0.1-l0.5,elastic_net,price_volume,,,0,"[null, null, null, null, null, null, null, null, null, null, null]","[""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions"", ""RuntimeError: undefined rank IC from constant or missing validation predictions""]"
