model,fold_id,train_start,train_end,validation_start,validation_end,embargo_start,train_rows,validation_rows,purged_rows,rank_ic,mae,rmse,top_tercile_excess,dropped_features,error,rank_ic_dates
B0,fold-00,2021-01-08 21:00:00+00:00,2021-12-31 21:00:00+00:00,2022-01-14 21:00:00+00:00,2022-04-08 20:00:00+00:00,2022-01-07 21:00:00+00:00,1560,390,0,,0.019895256050836127,0.024956154498947513,0.0,[],,
B0,fold-01,2021-01-08 21:00:00+00:00,2022-04-01 20:00:00+00:00,2022-04-14 20:00:00+00:00,2022-07-08 20:00:00+00:00,2022-04-08 20:00:00+00:00,1950,390,0,,0.021700770582727985,0.027475150703641357,0.0,[],,
B0,fold-02,2021-01-08 21:00:00+00:00,2022-07-01 20:00:00+00:00,2022-07-15 20:00:00+00:00,2022-10-07 20:00:00+00:00,2022-07-08 20:00:00+00:00,2340,390,0,,0.021547508296631823,0.026509130356335016,0.0,[],,
B0,fold-03,2021-01-08 21:00:00+00:00,2022-09-30 20:00:00+00:00,2022-10-14 20:00:00+00:00,2023-01-06 21:00:00+00:00,2022-10-07 20:00:00+00:00,2730,390,0,,0.022169089902482907,0.027718372721553728,0.0,[],,
B0,fold-04,2021-01-08 21:00:00+00:00,2022-12-30 21:00:00+00:00,2023-01-13 21:00:00+00:00,2023-04-06 20:00:00+00:00,2023-01-06 21:00:00+00:00,3120,390,0,,0.021022550011975435,0.02620340444989595,0.0,[],,
B0,fold-05,2021-01-08 21:00:00+00:00,2023-03-31 20:00:00+00:00,2023-04-14 20:00:00+00:00,2023-07-07 20:00:00+00:00,2023-04-06 20:00:00+00:00,3510,390,0,,0.020968709161575838,0.026559329673018963,0.0,[],,
B0,fold-06,2021-01-08 21:00:00+00:00,2023-06-30 20:00:00+00:00,2023-07-14 20:00:00+00:00,2023-10-06 20:00:00+00:00,2023-07-07 20:00:00+00:00,3900,390,0,,0.02152976927830813,0.02695009076945519,0.0,[],,
B0,fold-07,2021-01-08 21:00:00+00:00,2023-09-29 20:00:00+00:00,2023-10-13 20:00:00+00:00,2024-01-05 21:00:00+00:00,2023-10-06 20:00:00+00:00,4290,390,0,,0.021322627945883264,0.02645719715141387,0.0,[],,
B0,fold-08,2021-01-08 21:00:00+00:00,2023-12-29 21:00:00+00:00,2024-01-12 21:00:00+00:00,2024-04-05 20:00:00+00:00,2024-01-05 21:00:00+00:00,4680,390,0,,0.02255321889896786,0.02819704519163297,0.0,[],,
B0,fold-09,2021-01-08 21:00:00+00:00,2024-03-28 20:00:00+00:00,2024-04-12 20:00:00+00:00,2024-07-05 20:00:00+00:00,2024-04-05 20:00:00+00:00,5070,390,0,,0.021816587164263497,0.026719150023661896,0.0,[],,
B0,fold-10,2021-01-08 21:00:00+00:00,2024-06-28 20:00:00+00:00,2024-07-12 20:00:00+00:00,2024-10-04 20:00:00+00:00,2024-07-05 20:00:00+00:00,5460,390,0,,0.022224286792212996,0.027331313810910862,0.0,[],,
B1,fold-00,2021-01-08 21:00:00+00:00,2021-12-31 21:00:00+00:00,2022-01-14 21:00:00+00:00,2022-04-08 20:00:00+00:00,2022-01-07 21:00:00+00:00,1560,390,0,0.02712415504406606,0.043058249218156076,0.054728258992822,-0.0009444367238669537,[],,
B1,fold-01,2021-01-08 21:00:00+00:00,2022-04-01 20:00:00+00:00,2022-04-14 20:00:00+00:00,2022-07-08 20:00:00+00:00,2022-04-08 20:00:00+00:00,1950,390,0,0.0047060836827243924,0.05116205389059084,0.06398836507953494,0.002961757010123405,[],,
B1,fold-02,2021-01-08 21:00:00+00:00,2022-07-01 20:00:00+00:00,2022-07-15 20:00:00+00:00,2022-10-07 20:00:00+00:00,2022-07-08 20:00:00+00:00,2340,390,0,0.10272952853598015,0.04928140717569386,0.06402627503035546,0.004401916069751273,[],,
B1,fold-03,2021-01-08 21:00:00+00:00,2022-09-30 20:00:00+00:00,2022-10-14 20:00:00+00:00,2023-01-06 21:00:00+00:00,2022-10-07 20:00:00+00:00,2730,390,0,-0.057277316676649266,0.04992531109601434,0.06314060921600043,-0.000709086564567048,[],,
B1,fold-04,2021-01-08 21:00:00+00:00,2022-12-30 21:00:00+00:00,2023-01-13 21:00:00+00:00,2023-04-06 20:00:00+00:00,2023-01-06 21:00:00+00:00,3120,390,0,0.025207495507829213,0.04914165332193926,0.06079081769022419,0.0017613272369177467,[],,
B1,fold-05,2021-01-08 21:00:00+00:00,2023-03-31 20:00:00+00:00,2023-04-14 20:00:00+00:00,2023-07-07 20:00:00+00:00,2023-04-06 20:00:00+00:00,3510,390,0,-0.010456062291434936,0.0488772279351785,0.06068322183294556,0.0006423492751479542,[],,
B1,fold-06,2021-01-08 21:00:00+00:00,2023-06-30 20:00:00+00:00,2023-07-14 20:00:00+00:00,2023-10-06 20:00:00+00:00,2023-07-07 20:00:00+00:00,3900,390,0,0.04245743133396081,0.050483396195316214,0.06346374019951037,0.002207787347635716,[],,
B1,fold-07,2021-01-08 21:00:00+00:00,2023-09-29 20:00:00+00:00,2023-10-13 20:00:00+00:00,2024-01-05 21:00:00+00:00,2023-10-06 20:00:00+00:00,4290,390,0,0.018156926499529383,0.047626023286267374,0.05868869831024191,0.0008662065982135056,[],,
B1,fold-08,2021-01-08 21:00:00+00:00,2023-12-29 21:00:00+00:00,2024-01-12 21:00:00+00:00,2024-04-05 20:00:00+00:00,2024-01-05 21:00:00+00:00,4680,390,0,0.0399589287242235,0.051565116972245355,0.06327788207341349,0.0030503851396413125,[],,
B1,fold-09,2021-01-08 21:00:00+00:00,2024-03-28 20:00:00+00:00,2024-04-12 20:00:00+00:00,2024-07-05 20:00:00+00:00,2024-04-05 20:00:00+00:00,5070,390,0,0.002823650209634639,0.048721905676605906,0.061190188982883226,0.0018643176679259482,[],,
B1,fold-10,2021-01-08 21:00:00+00:00,2024-06-28 20:00:00+00:00,2024-07-12 20:00:00+00:00,2024-10-04 20:00:00+00:00,2024-07-05 20:00:00+00:00,5460,390,0,-0.006793873534696668,0.04788888472412097,0.05961119524200605,-0.0008593637925336987,[],,
B2-price_volume-a0.001-l0.1,fold-00,2021-01-08 21:00:00+00:00,2021-12-31 21:00:00+00:00,2022-01-14 21:00:00+00:00,2022-04-08 20:00:00+00:00,2022-01-07 21:00:00+00:00,1560,390,0,0.009703088902199017,0.019941558326638367,0.024989941512285563,-0.00013367299362002013,[],,
B2-price_volume-a0.001-l0.1,fold-01,2021-01-08 21:00:00+00:00,2022-04-01 20:00:00+00:00,2022-04-14 20:00:00+00:00,2022-07-08 20:00:00+00:00,2022-04-08 20:00:00+00:00,1950,390,0,-0.057379994866090536,0.02181249901261866,0.027604010070270028,-0.002006091852191803,[],,
B2-price_volume-a0.001-l0.1,fold-02,2021-01-08 21:00:00+00:00,2022-07-01 20:00:00+00:00,2022-07-15 20:00:00+00:00,2022-10-07 20:00:00+00:00,2022-07-08 20:00:00+00:00,2340,390,0,-0.15115940788910753,0.021705998432843043,0.026742597463644657,-0.004991800056175384,[],,
B2-price_volume-a0.001-l0.1,fold-03,2021-01-08 21:00:00+00:00,2022-09-30 20:00:00+00:00,2022-10-14 20:00:00+00:00,2023-01-06 21:00:00+00:00,2022-10-07 20:00:00+00:00,2730,390,0,-0.0024813895781637717,0.022194631985024055,0.02773513411607329,-0.00019831649717278257,[],,
B2-price_volume-a0.001-l0.1,fold-04,2021-01-08 21:00:00+00:00,2022-12-30 21:00:00+00:00,2023-01-13 21:00:00+00:00,2023-04-06 20:00:00+00:00,2023-01-06 21:00:00+00:00,3120,390,0,-0.009566184649610683,0.021028715601509346,0.02621424492359466,-0.0015362001457280906,[],,
